tag,sentence
Data,The most popular category is Entertainment (517 out of 1259 accounts fall under the Entertainment category) and the least popular category is Sports (23 out of 1259 accounts fall under the Sports category).
Data,This paper considered the severity of 517 forest fires from the Montesinho Natural Park in Portugal from January 2000 to December 2003.
Lim,Whereas other animals that are not endangered and do not have hunting protections may have shorter lifespans on average after controlling for other relevant animal characteristics.
Data,"Finally, Figure 13 shows a slightly positive correlation between sulfur dioxide concentration and logarithmic death rate, and figure 14 shows a slightly negative correlation between $PM_{10}$ pollution and logarithmic death rate."
Lim,"In order for other studies to build on this work, it is important to look at other variable statistics such as goals made to determine if any of them are related to a soccer player’s position."
Data,"Figure 8, the histogram for this variable, seems to confirm our results from the boxplot, showing the slight left skew."
Struct,Analysis was done to decide the model and variables to use in the model.
Lim,"Because they took the original population data from a website that requires volunteerism, there is a limited randomness in the population."
MethDef,"To determine whether the pollutants are associated with mortality, we fit a model that uses only temperature as a feature without the pollutant variables - we will compare this model to our best model to validate the association between pollutants and mortality."
Res,We are 95% confident the mean number of non-accidental deaths on a 70 degree day with the lowest amount of recorded pollutant levels will be between 105.89 and 112.64 deaths.
Data,"Looking closer at the relationship between the deaths and time, we can see that it appears to fluctuate sinusoidally depending on the time of year, shown in Figure 5"
Res,"Specifically, the lagged PM10 and ozone concentration variables where the two atmospheric pollutants most associated with mortality while sulfur dioxide has a smaller relationship with mortality."
Int,"Because the plot isn’t very linear, we cannot conclude that there is a relationship between costs and duration."
Res,This calculation led to a result of 4.68 deaths.
Data,"The primary focus will be on the variable viewsPerVideo, a quantitative variable that measures how many views each video garnered on average for the account in question."
Res,"Because the p-values for the covariates were all less than 0.05, we can reject the null hypothesis."
MethDef,"The second model, which we refer to as the lagged model, uses the lagged covariates (7 day averages) in place of the unlagged variables."
Data,"After analyzing the boxplots of our key variables, we also wanted to look at the histograms for EDA, and as seen in the histograms above, our graphs seem to confirm our analysis from the boxplots, that the data is right-skewed for our air pollutant variables."
